电影名称,上映年份,评分,地区,简介
倩女幽魂,1987,8.6,香港,两张绝世的脸。 
消失的爱人,2014,8.7,美国,none
神偷奶爸,2010,8.5,美国,Mr. I Don't Care其实也有Care的时候。
电锯惊魂,2004,8.6,美国 澳大利亚,真相就在眼前。
谍影重重3,2007,8.7,美国 德国,像吃了苏打饼一样干脆的电影。
真爱至上,2003,8.5,英国 美国 法国,爱，是个动词。
岁月神偷,2010,8.6,香港 中国大陆,岁月流逝，来日可追。
借东西的小人阿莉埃蒂,2010,8.7,日本,曾经的那段美好会沉淀为一辈子的记忆。
雨人,1988,8.6,美国,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
虎口脱险,1966,8.9,法国 英国,永远看不腻的喜剧。
七武士,1954,9.1,日本,时代悲歌。
恐怖直播,2013,8.7,韩国,恐怖分子的“秋菊打官司”。
贫民窟的百万富翁,2008,8.5,英国 美国,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,1994,8.6,香港 台湾,电影诗。
记忆碎片,2000,8.5,美国,一个针管引发的血案。
疯狂原始人,2013,8.7,美国,老少皆宜，这就是好莱坞动画的魅力。
杀人回忆,2003,8.6,韩国,关于连环杀人悬案的集体回忆。
怪兽电力公司,2001,8.6,美国,不要给它起名字，起了名字就有感情了。
红辣椒,2006,8.8,日本,梦的勾结。
卢旺达饭店,2004,8.8,英国 南非 意大利 美国,当这个世界闭上双眼，他却敞开了怀抱。
穿越时空的少女,2006,8.6,日本,爱上未来的你。 
黑天鹅,2010,8.5,美国,黑暗之美。
魂断蓝桥,1940,8.8,美国,中国式内在的美国电影。
恋恋笔记本,2004,8.5,美国,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
猜火车,1996,8.5,英国,不可猜的青春迷笛。 
喜宴,1993,8.8,台湾 美国,中国家庭的喜怒哀乐忍。
英雄本色,1986,8.7,香港,英雄泪短，兄弟情长。 
傲慢与偏见,2005,8.4,法国 英国 美国,爱是摈弃傲慢与偏见之后的曙光。
雨中曲,1952,8.9,美国,骨灰级歌舞片。
教父3,1990,8.7,美国,任何信念的力量，都无法改变命运。
小森林 夏秋篇,2014,8.9,日本,none
完美的世界,1993,9,美国,坏人的好总是比好人的好来得更感人。
喜剧之王,1999,8.4,香港,我是一个演员。
纵横四海,1991,8.7,香港,香港浪漫主义警匪动作片的巅峰之作。
玩具总动员3,2010,8.7,美国,跨度十五年的欢乐与泪水。
萤火之森,2011,8.7,日本,触不到的恋人。
人工智能,2001,8.6,美国,对爱的执着，可以超越一切。
我是山姆,2001,8.8,美国,爱并不需要智商 。
香水,2006,8.4,德国 法国 西班牙 美国,一个单凭体香达到高潮的男人。
